City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
109,Atuona,PF,78.89,-9.8,-139.0333,Villa Enata
113,Lompoc,US,70.79,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
115,Isangel,VU,84.31,-19.55,169.2667,Tanna Lodge
116,Manokwari,ID,78.58,-0.8667,134.0833,Swiss Belhotel Manokwari
117,Port Elizabeth,ZA,67.1,-33.918,25.5701,39 On Nile Guest House
119,Beira,MZ,78.15,-19.8436,34.8389,Beira Terrace Hotel
120,Coquimbo,CL,67.73,-29.9533,-71.3436,Hostel Del Puerto
121,Ugoofaaru,MV,80.83,5.6667,73.0,Ungoofaaru Inn
123,Gizo,SB,82.54,-8.103,156.8419,Imagination Island
125,Taltal,CL,67.32,-25.4,-70.4833,Residencial Karime
127,Tagusao,PH,77.79,9.1924,117.8141,Toledo
128,Hilo,US,80.33,19.7297,-155.09,Hilo Hawaiian Hotel
129,Sinnar,SD,81.25,13.5691,33.5672,هجو الطاهر
130,Singapore,SG,78.84,1.2897,103.8501,The Fullerton Hotel Singapore
131,Cidreira,BR,72.64,-30.1811,-50.2056,Hotel Castelo
133,Sao Felix Do Xingu,BR,71.02,-6.6447,-51.995,Rio Xingu Camping
136,Djibo,BF,68.2,14.1022,-1.6306,Centre Des Ressources DPENA
137,Nkhotakota,MW,75.2,-12.9274,34.2961,Sitima Inn
139,Rock Sound,BS,76.06,24.9,-76.2,Pink Corral Bay Property
145,Ambilobe,MG,74.53,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
146,Hithadhoo,MV,81.3,-0.6,73.0833,Scoop Guest House
147,Cozumel,MX,79.95,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
149,Souillac,MU,76.35,-20.5167,57.5167,Shanti Maurice Resort & Spa
154,Labuhan,ID,78.64,-6.8844,112.2051,DoubleFAG
157,Chuy,UY,70.84,-33.6971,-53.4616,Nuevo Hotel Plaza
162,Salinas,US,68.56,36.6777,-121.6555,Laurel Inn & Conference Center
163,Itoman,JP,66.22,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
165,Saint-Georges,GD,77.36,12.0564,-61.7485,Radisson Grenada Beach Resort
166,Geraldton,AU,69.13,-28.7667,114.6,Broadwater Mariner Resort
168,Axim,GH,80.73,4.8699,-2.2405,Axim Beach Resort And Spa
169,Zachary,US,73.06,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
170,Beberibe,BR,83.16,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
171,Ahipara,NZ,74.3,-35.1667,173.1667,Ahipara Holiday Park
